dropout,batch_size,learning_rate,color_jitter,epoch,train_acc,val_acc


RUN 1/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.1

0.5,32,0.001,0.1,1,0.8058,0.8887
0.5,32,0.001,0.1,2,0.8897,0.9090
0.5,32,0.001,0.1,3,0.9103,0.9286
0.5,32,0.001,0.1,4,0.9217,0.9248
0.5,32,0.001,0.1,5,0.9252,0.9362
0.5,32,0.001,0.1,6,0.9288,0.9432
0.5,32,0.001,0.1,7,0.9302,0.9231
0.5,32,0.001,0.1,8,0.9332,0.9369
0.5,32,0.001,0.1,9,0.9335,0.9451
0.5,32,0.001,0.1,10,0.9364,0.9452


RUN 2/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.2

0.5,32,0.001,0.2,1,0.7967,0.8798
0.5,32,0.001,0.2,2,0.8853,0.8992
0.5,32,0.001,0.2,3,0.9061,0.9122
0.5,32,0.001,0.2,4,0.9172,0.9306
0.5,32,0.001,0.2,5,0.9239,0.9345
0.5,32,0.001,0.2,6,0.9274,0.9266
0.5,32,0.001,0.2,7,0.9329,0.9381
0.5,32,0.001,0.2,8,0.9343,0.9431
0.5,32,0.001,0.2,9,0.9359,0.9347
0.5,32,0.001,0.2,10,0.9365,0.9452


RUN 3/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.3

0.5,32,0.001,0.3,1,0.8062,0.8769
0.5,32,0.001,0.3,2,0.8900,0.9052
0.5,32,0.001,0.3,3,0.9102,0.9199
0.5,32,0.001,0.3,4,0.9200,0.9306
0.5,32,0.001,0.3,5,0.9266,0.9355
0.5,32,0.001,0.3,6,0.9290,0.9305
0.5,32,0.001,0.3,7,0.9314,0.9390
0.5,32,0.001,0.3,8,0.9337,0.9203
0.5,32,0.001,0.3,9,0.9354,0.9402
0.5,32,0.001,0.3,10,0.9354,0.9438


RUN 4/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.0001, color_jitter=0.1

0.5,32,0.0001,0.1,1,0.6707,0.7516
0.5,32,0.0001,0.1,2,0.7820,0.8242
0.5,32,0.0001,0.1,3,0.8339,0.8618
0.5,32,0.0001,0.1,4,0.8645,0.8796
0.5,32,0.0001,0.1,5,0.8845,0.9004
0.5,32,0.0001,0.1,6,0.8982,0.9094
0.5,32,0.0001,0.1,7,0.9109,0.9131
0.5,32,0.0001,0.1,8,0.9195,0.9178
0.5,32,0.0001,0.1,9,0.9244,0.9194
0.5,32,0.0001,0.1,10,0.9308,0.9203


RUN 5/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.0001, color_jitter=0.2

0.5,32,0.0001,0.2,1,0.6913,0.7803
0.5,32,0.0001,0.2,2,0.8005,0.8349
0.5,32,0.0001,0.2,3,0.8395,0.8686
0.5,32,0.0001,0.2,4,0.8700,0.8881
0.5,32,0.0001,0.2,5,0.8918,0.9000
0.5,32,0.0001,0.2,6,0.9049,0.9087
0.5,32,0.0001,0.2,7,0.9152,0.9162
0.5,32,0.0001,0.2,8,0.9223,0.9186
0.5,32,0.0001,0.2,9,0.9295,0.9230
