run_idx,dropout,batch_size,learning_rate,color_jitter,epoch,train_acc,val_acc
64,0.8,64,0.001,0.1,10,0.9439,0.9498
11,0.5,64,0.001,0.2,9,0.9439,0.9496
30,0.6,64,0.001,0.3,9,0.9409,0.9471
29,0.6,64,0.001,0.2,9,0.9428,0.9462
66,0.8,64,0.001,0.3,9,0.9408,0.9456
1,0.5,32,0.001,0.1,10,0.9364,0.9452
2,0.5,32,0.001,0.2,10,0.9365,0.9452
65,0.8,64,0.001,0.2,10,0.9432,0.9448
46,0.7,64,0.001,0.1,9,0.9427,0.9447
21,0.6,32,0.001,0.3,9,0.9352,0.9446
3,0.5,32,0.001,0.3,10,0.9354,0.9438
19,0.6,32,0.001,0.1,10,0.9359,0.9432
47,0.7,64,0.001,0.2,10,0.941,0.9432
38,0.7,32,0.001,0.2,10,0.9363,0.943
37,0.7,32,0.001,0.1,8,0.9327,0.943
39,0.7,32,0.001,0.3,10,0.9356,0.9429
10,0.5,64,0.001,0.1,8,0.9387,0.9421
20,0.6,32,0.001,0.2,10,0.9384,0.9419
55,0.8,32,0.001,0.1,7,0.9298,0.9416
56,0.8,32,0.001,0.2,10,0.9345,0.9415
48,0.7,64,0.001,0.3,8,0.9413,0.9411
12,0.5,64,0.001,0.3,6,0.9365,0.941
28,0.6,64,0.001,0.1,9,0.9425,0.9393
57,0.8,32,0.001,0.3,8,0.933,0.9365
42,0.7,32,0.0001,0.3,10,0.9302,0.9231
5,0.5,32,0.0001,0.2,9,0.9295,0.923
40,0.7,32,0.0001,0.1,10,0.9304,0.9212
24,0.6,32,0.0001,0.3,10,0.9333,0.9204
59,0.8,32,0.0001,0.2,10,0.9319,0.9203
4,0.5,32,0.0001,0.1,10,0.9308,0.9203
22,0.6,32,0.0001,0.1,10,0.9302,0.9175
23,0.6,32,0.0001,0.2,10,0.9245,0.9164
60,0.8,32,0.0001,0.3,9,0.9256,0.916
6,0.5,32,0.0001,0.3,10,0.9287,0.9153
58,0.8,32,0.0001,0.1,10,0.9284,0.9151
41,0.7,32,0.0001,0.2,10,0.9253,0.9129
67,0.8,64,0.0001,0.1,10,0.9225,0.9043
50,0.7,64,0.0001,0.2,10,0.9208,0.9007
15,0.5,64,0.0001,0.3,9,0.9164,0.9005
68,0.8,64,0.0001,0.2,9,0.9084,0.9002
31,0.6,64,0.0001,0.1,10,0.9233,0.8993
33,0.6,64,0.0001,0.3,10,0.919,0.8976
32,0.6,64,0.0001,0.2,10,0.9213,0.8968
69,0.8,64,0.0001,0.3,10,0.9179,0.8967
49,0.7,64,0.0001,0.1,9,0.9099,0.896
14,0.5,64,0.0001,0.2,9,0.9105,0.8957
13,0.5,64,0.0001,0.1,10,0.9188,0.894
51,0.7,64,0.0001,0.3,9,0.9067,0.8899
9,0.5,32,1e-05,0.3,10,0.789,0.7934
7,0.5,32,1e-05,0.1,10,0.7806,0.7911
44,0.7,32,1e-05,0.2,10,0.7584,0.7719
26,0.6,32,1e-05,0.2,10,0.7671,0.7701
61,0.8,32,1e-05,0.1,10,0.756,0.7688
8,0.5,32,1e-05,0.2,10,0.7535,0.768
43,0.7,32,1e-05,0.1,10,0.7557,0.7657
27,0.6,32,1e-05,0.3,10,0.7527,0.7641
45,0.7,32,1e-05,0.3,10,0.7565,0.7635
62,0.8,32,1e-05,0.2,10,0.7524,0.7615
25,0.6,32,1e-05,0.1,10,0.754,0.7613
35,0.6,64,1e-05,0.2,10,0.7594,0.7599
63,0.8,32,1e-05,0.3,10,0.7477,0.7584
54,0.7,64,1e-05,0.3,10,0.757,0.7552
16,0.5,64,1e-05,0.1,10,0.7502,0.7494
72,0.8,64,1e-05,0.3,10,0.7431,0.7479
18,0.5,64,1e-05,0.3,10,0.7481,0.7442
52,0.7,64,1e-05,0.1,10,0.7489,0.7435
17,0.5,64,1e-05,0.2,10,0.7309,0.7346
34,0.6,64,1e-05,0.1,10,0.737,0.734
71,0.8,64,1e-05,0.2,10,0.726,0.7279
53,0.7,64,1e-05,0.2,10,0.7288,0.7276
36,0.6,64,1e-05,0.3,10,0.7181,0.7218
70,0.8,64,1e-05,0.1,10,0.7102,0.7118
