dropout,batch_size,learning_rate,color_jitter,epoch,train_acc,val_acc


RUN 1/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.1

0.5,32,0.001,0.1,1,0.8152,0.8886
0.5,32,0.001,0.1,2,0.8921,0.9096
0.5,32,0.001,0.1,3,0.9115,0.9225
0.5,32,0.001,0.1,4,0.9198,0.9290
0.5,32,0.001,0.1,5,0.9262,0.9416
0.5,32,0.001,0.1,6,0.9310,0.9324
0.5,32,0.001,0.1,7,0.9341,0.9326
0.5,32,0.001,0.1,8,0.9343,0.9396
0.5,32,0.001,0.1,9,0.9352,0.9398
0.5,32,0.001,0.1,10,0.9475,0.9446
0.5,32,0.001,0.1,11,0.9496,0.9520
0.5,32,0.001,0.1,12,0.9515,0.9535
0.5,32,0.001,0.1,13,0.9511,0.9522
0.5,32,0.001,0.1,14,0.9520,0.9526
0.5,32,0.001,0.1,15,0.9517,0.9531
0.5,32,0.001,0.1,16,0.9525,0.9523
0.5,32,0.001,0.1,17,0.9536,0.9438
0.5,32,0.001,0.1,18,0.9544,0.9524
0.5,32,0.001,0.1,19,0.9538,0.9545
0.5,32,0.001,0.1,20,0.9612,0.9565


RUN 2/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.2

0.5,32,0.001,0.2,1,0.8153,0.8972
0.5,32,0.001,0.2,2,0.8931,0.9133
0.5,32,0.001,0.2,3,0.9103,0.9290
0.5,32,0.001,0.2,4,0.9202,0.9354
0.5,32,0.001,0.2,5,0.9249,0.9331
0.5,32,0.001,0.2,6,0.9283,0.9409
0.5,32,0.001,0.2,7,0.9310,0.9375
0.5,32,0.001,0.2,8,0.9318,0.9427
0.5,32,0.001,0.2,9,0.9339,0.9424
0.5,32,0.001,0.2,10,0.9363,0.9358
0.5,32,0.001,0.2,11,0.9373,0.9392
0.5,32,0.001,0.2,12,0.9370,0.9406
0.5,32,0.001,0.2,13,0.9385,0.9436
0.5,32,0.001,0.2,14,0.9397,0.9343
0.5,32,0.001,0.2,15,0.9399,0.9426
0.5,32,0.001,0.2,16,0.9395,0.9457
0.5,32,0.001,0.2,17,0.9386,0.9370
0.5,32,0.001,0.2,18,0.9408,0.9333
0.5,32,0.001,0.2,19,0.9397,0.9412
0.5,32,0.001,0.2,20,0.9413,0.9363


RUN 3/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.3

0.5,32,0.001,0.3,1,0.8073,0.8749
0.5,32,0.001,0.3,2,0.8889,0.9086
0.5,32,0.001,0.3,3,0.9107,0.9225
0.5,32,0.001,0.3,4,0.9213,0.9372
0.5,32,0.001,0.3,5,0.9275,0.9317
0.5,32,0.001,0.3,6,0.9302,0.9422
0.5,32,0.001,0.3,7,0.9335,0.9376
0.5,32,0.001,0.3,8,0.9326,0.9370
0.5,32,0.001,0.3,9,0.9347,0.9414
0.5,32,0.001,0.3,10,0.9365,0.9396
0.5,32,0.001,0.3,11,0.9378,0.9419
0.5,32,0.001,0.3,12,0.9384,0.9424
0.5,32,0.001,0.3,13,0.9393,0.9325
0.5,32,0.001,0.3,14,0.9349,0.9337
