Epoch, Train Accuracy, Validation Accuracy
Epoch 1, Train Accuracy: 56.06%, Validation Accuracy: 60.38%
Epoch 2, Train Accuracy: 61.31%, Validation Accuracy: 63.95%
Epoch 3, Train Accuracy: 63.81%, Validation Accuracy: 64.25%
Epoch 4, Train Accuracy: 66.76%, Validation Accuracy: 67.42%
Epoch 5, Train Accuracy: 68.26%, Validation Accuracy: 68.05%
Epoch 6, Train Accuracy: 69.84%, Validation Accuracy: 69.20%
Epoch 7, Train Accuracy: 69.91%, Validation Accuracy: 69.50%
Epoch 8, Train Accuracy: 70.09%, Validation Accuracy: 69.58%
Epoch 9, Train Accuracy: 69.99%, Validation Accuracy: 70.70%
Epoch 10, Train Accuracy: 70.41%, Validation Accuracy: 69.97%
Epoch 11, Train Accuracy: 70.66%, Validation Accuracy: 70.33%
Epoch 12, Train Accuracy: 70.78%, Validation Accuracy: 71.10%
Epoch 13, Train Accuracy: 70.73%, Validation Accuracy: 70.33%
Epoch 14, Train Accuracy: 70.97%, Validation Accuracy: 69.60%
Epoch 15, Train Accuracy: 70.54%, Validation Accuracy: 69.65%
Epoch 1, Train Accuracy: 69.41%, Validation Accuracy: 69.03%
Epoch 2, Train Accuracy: 69.61%, Validation Accuracy: 69.67%
Epoch 3, Train Accuracy: 69.54%, Validation Accuracy: 70.10%
Epoch 4, Train Accuracy: 69.47%, Validation Accuracy: 68.80%
Epoch 5, Train Accuracy: 69.32%, Validation Accuracy: 69.40%
Epoch 6, Train Accuracy: 69.55%, Validation Accuracy: 69.25%
Epoch 7, Train Accuracy: 69.88%, Validation Accuracy: 69.33%
Epoch 8, Train Accuracy: 69.58%, Validation Accuracy: 68.92%
Epoch 9, Train Accuracy: 69.44%, Validation Accuracy: 68.33%
Epoch 10, Train Accuracy: 69.59%, Validation Accuracy: 69.35%
Epoch 11, Train Accuracy: 69.19%, Validation Accuracy: 68.03%
Epoch 12, Train Accuracy: 69.91%, Validation Accuracy: 68.73%
Epoch 13, Train Accuracy: 69.55%, Validation Accuracy: 69.05%
Epoch 14, Train Accuracy: 69.53%, Validation Accuracy: 69.90%
Epoch 15, Train Accuracy: 69.77%, Validation Accuracy: 69.23%
Epoch 1, Train Accuracy: 66.53%, Validation Accuracy: 66.88%
Epoch 2, Train Accuracy: 66.57%, Validation Accuracy: 66.12%
Epoch 3, Train Accuracy: 66.65%, Validation Accuracy: 66.88%
Epoch 4, Train Accuracy: 66.58%, Validation Accuracy: 67.65%
Epoch 5, Train Accuracy: 66.71%, Validation Accuracy: 65.72%
Epoch 6, Train Accuracy: 67.16%, Validation Accuracy: 67.10%
Epoch 7, Train Accuracy: 67.28%, Validation Accuracy: 67.15%
Epoch 8, Train Accuracy: 66.28%, Validation Accuracy: 67.10%
Epoch 9, Train Accuracy: 67.15%, Validation Accuracy: 67.40%
Epoch 10, Train Accuracy: 67.41%, Validation Accuracy: 65.83%
Epoch 11, Train Accuracy: 67.31%, Validation Accuracy: 67.05%
Epoch 12, Train Accuracy: 65.90%, Validation Accuracy: 66.92%
Epoch 13, Train Accuracy: 66.60%, Validation Accuracy: 66.45%
Epoch 14, Train Accuracy: 66.88%, Validation Accuracy: 66.33%
Epoch 15, Train Accuracy: 66.34%, Validation Accuracy: 66.15%
