Epoch, Train Accuracy, Validation Accuracy
Epoch 1, Train Accuracy: 66.16%, Validation Accuracy: 75.90%
Epoch 2, Train Accuracy: 78.13%, Validation Accuracy: 80.17%
Epoch 3, Train Accuracy: 82.15%, Validation Accuracy: 83.17%
Epoch 4, Train Accuracy: 84.44%, Validation Accuracy: 81.30%
Epoch 5, Train Accuracy: 86.16%, Validation Accuracy: 83.58%
Epoch 1, Train Accuracy: 84.83%, Validation Accuracy: 83.55%
Epoch 2, Train Accuracy: 86.97%, Validation Accuracy: 87.45%
Epoch 3, Train Accuracy: 88.11%, Validation Accuracy: 86.72%
Epoch 4, Train Accuracy: 88.54%, Validation Accuracy: 80.55%
Epoch 5, Train Accuracy: 89.53%, Validation Accuracy: 88.83%
Epoch 1, Train Accuracy: 83.76%, Validation Accuracy: 84.40%
Epoch 2, Train Accuracy: 84.80%, Validation Accuracy: 84.85%
Epoch 3, Train Accuracy: 85.46%, Validation Accuracy: 87.08%
Epoch 4, Train Accuracy: 86.04%, Validation Accuracy: 87.12%
Epoch 5, Train Accuracy: 86.33%, Validation Accuracy: 87.12%
